TraceNo.;Realduration(ms);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained)
0;18000;0;1;17999;624951918;624085695;628873535;628873535;642154209;709317248;624933919;624067696;628855536;628855536;642136210;709299249;1;8001;9999;624943918;374342207;409487167;401993503;333993315;297868358;624933919;374332208;409477168;401983504;333983316;297858359
1;1043646000;0;1;1043645999;624951918;624085695;628873535;628873535;617068268;529911032;418694081;419560304;414772464;414772464;426577731;513734967;1;634169001;409476999;0;374342207;409487167;401993503;349969343;304275075;409476999;35134792;10168;7483496;59507656;105201924
2;952320000;0;1;952319999;624951918;624085695;628873535;628873535;653092189;544040472;327368081;328234304;323446464;323446464;299227810;408279527;1;8001;952311999;624943918;374342207;409487167;401993503;344998795;305047202;327368081;577969792;542824832;550318496;607313204;647264797
3;686670000;0;1;686669999;624951918;624085695;628873535;628873535;616954414;585701778;61718081;62584304;57796464;57796464;69715585;100968221;1;428768001;257901999;196183918;374342207;409487167;401993503;344583595;354271472;61718081;116440208;151585168;144091504;86681596;96369473;2;598946001;87723999;26005918;809051071;809051071;809051071;299659642;293313078;61718081;721327072;721327072;721327072;211935643;205589079
4;19388000;0;1;19387999;624951918;624085695;628873535;628873535;596853923;627943928;605563919;604697696;609485536;609485536;577465924;608555929;1;46001;19341999;624905918;374342207;409487167;401993503;344573809;363431435;605563919;355000208;390145168;382651504;325231810;344089436
5;83452000;0;1;83451999;624951918;624085695;628873535;628873535;622893378;551952085;541499919;540633696;545421536;545421536;539441379;468500086;1;82538001;913999;542413918;374342207;409487167;401993503;361450215;348431158;541499919;373428208;408573168;401079504;360536216;347517159
6;3015035000;0;1;3015034999;624951918;624085695;628873535;628873535;624994200;603997705;2390083081;2390949304;2386161464;2386161464;2390040799;2411037294;1;1009994001;2005040999;0;374342207;409487167;401993503;339540226;330958198;2005040999;1630698792;1595553832;1603047496;1665500773;1674082801;2;1029194001;1985840999;0;809051071;809051071;809051071;301795782;258155288;1985840999;1176789928;1176789928;1176789928;1684045217;1727685711
7;10523000;0;1;10522999;624951918;624085695;628873535;628873535;571376408;605717238;614428919;613562696;618350536;618350536;560853409;595194239;1;16001;10506999;624935918;374342207;409487167;401993503;375443219;329257718;614428919;363835208;398980168;391486504;364936220;318750719
8;674000;0;1;673999;624951918;624085695;628873535;628873535;604144305;616605215;624277919;623411696;628199536;628199536;603470306;615931216;1;115001;558999;624836918;374342207;409487167;401993503;326655881;359233145;624277919;373783208;408928168;401434504;326096882;358674146
9;2222000;0;1;2221999;624951918;624085695;628873535;628873535;576419251;661257858;622729919;621863696;626651536;626651536;574197252;659035859;1;8001;2213999;624943918;374342207;409487167;401993503;376780595;369317162;622729919;372128208;407273168;399779504;374566596;367103163
